Pendolo inverso attivazione
(dt=10, OCR2A=156, Prescaler=1024)
PWM	mStep	mVel	mAcc
-255	11371	-92	1
-255	11280	-91	1
-255	11187	-93	-2
-255	11095	-92	1
-255	11004	-91	1
-255	10911	-93	-2
-255	10819	-92	1
-255	10728	-91	1
-255	10635	-93	-2
-255	10543	-92	1
-255	10450	-93	-1
-255	10358	-92	1
-255	10267	-91	1
-255	10176	-91	0
-255	10084	-92	-1
-255	9993	-91	1
-255	9900	-93	-2
-255	9806	-94	-1
-255	9713	-93	1
-255	9621	-92	1
-255	9528	-93	-1
-255	9434	-94	-1
-255	9341	-93	1
-255	9247	-94	-1
-255	9154	-93	1
-255	9062	-92	1
-255	8969	-93	-1
-255	8876	-93	0
-255	8782	-94	-1
-255	8689	-93	1
-255	8597	-92	1
-255	8504	-93	-1
-255	8412	-92	1
-255	8319	-93	-1
-255	8227	-92	1
-255	8134	-93	-1
-255	8041	-93	0
-255	7947	-94	-1
-255	7854	-93	1
-255	7762	-92	1
-255	7669	-93	-1
-255	7577	-92	1
-255	7484	-93	-1
-255	7392	-92	1
-255	7301	-91	1
-255	7208	-93	-2
-255	7116	-92	1
-255	7023	-93	-1
-255	6931	-92	1
-255	6838	-93	-1
-255	6745	-93	0
-255	6651	-94	-1
-255	6558	-93	1
-255	6465	-93	0
-255	6373	-92	1
-255	6280	-93	-1
-255	6187	-93	0
-255	6093	-94	-1
-255	6000	-93	1
-255	5908	-92	1
-255	5815	-93	-1
-255	5722	-93	0
-255	5629	-93	0
-255	5537	-92	1
-255	5444	-93	-1
-255	5351	-93	0
-255	5257	-94	-1
-255	5164	-93	1
-255	5071	-93	0
-255	4978	-93	0
-255	4886	-92	1
-255	4793	-93	-1
-255	4700	-93	0
-255	4607	-93	0
-255	4515	-92	1
-255	4422	-93	-1
-255	4329	-93	0
-255	4236	-93	0
-255	4142	-94	-1
-255	4049	-93	1
-255	3956	-93	0
-255	3863	-93	0
-255	3769	-94	-1
-255	3676	-93	1
-255	3583	-93	0
-255	3491	-92	1
-255	3397	-94	-2
-255	3305	-92	2
-255	3212	-93	-1
-255	3119	-93	0
-255	3026	-93	0
-255	2932	-94	-1
-255	2839	-93	1
-255	2746	-93	0
-255	2653	-93	0
-255	2560	-93	0
-255	2468	-92	1
-255	2374	-94	-2
-255	2282	-92	2
-255	2189	-93	-1
-255	2096	-93	0
-255	2003	-93	0
-255	1910	-93	0
-255	1817	-93	0
-255	1724	-93	0
-255	1631	-93	0
-255	1538	-93	0
-255	1446	-92	1
-255	1352	-94	-2
-255	1260	-92	2
-255	1167	-93	-1
-255	1074	-93	0
-255	981	-93	0
-255	888	-93	0
-255	795	-93	0
-255	700	-95	-2
-255	605	-95	0
-255	510	-95	0
-255	416	-94	1
-255	323	-93	1
-255	230	-93	0
-255	137	-93	0
-255	44	-93	0
-255	-51	-95	-2
-255	-145	-94	1
-255	-238	-93	1
-255	-331	-93	0
-255	-424	-93	0
-255	-517	-93	0
-255	-610	-93	0
-255	-705	-95	-2
-255	-800	-95	0
-255	-895	-95	0
-255	-989	-94	1
-255	-1082	-93	1
-255	-1175	-93	0
-255	-1268	-93	0
-255	-1361	-93	0
-255	-1454	-93	0
-255	-1547	-93	0
-255	-1639	-92	1
-255	-1731	-92	0
-255	-1825	-94	-2
-255	-1918	-93	1
-255	-2011	-93	0
-255	-2104	-93	0
-255	-2197	-93	0
-255	-2290	-93	0
-255	-2383	-93	0
-255	-2475	-92	1
-255	-2569	-94	-2
-255	-2661	-92	2
-255	-2754	-93	-1
-255	-2847	-93	0
-255	-2940	-93	0
-255	-3033	-93	0
-255	-3126	-93	0
-255	-3219	-93	0
-255	-3312	-93	0
-255	-3405	-93	0
-255	-3498	-93	0
-255	-3591	-93	0
-255	-3684	-93	0
-255	-3777	-93	0
-255	-3870	-93	0
-255	-3963	-93	0
-255	-4056	-93	0
-255	-4149	-93	0
-255	-4242	-93	0
-255	-4335	-93	0
-255	-4428	-93	0
1000	-4519	-91	2
1000	-4597	-78	13
1000	-4650	-53	25
1000	-4684	-34	19
1000	-4707	-23	11
1000	-4723	-16	7
1000	-4736	-13	3
1000	-4746	-10	3
1000	-4754	-8	2
1000	-4761	-7	1
1000	-4766	-5	2
1000	-4770	-4	1
1000	-4772	-2	2
1000	-4773	-1	1
1000	-4773	0	1
1000	-4773	0	0
1000	-4773	0	0
1000	-4773	0	0
1000	-4773	0	0
1000	-4773	0	0
1000	-4773	0	0
1000	-4773	0	0
1000	-4773	0	0
1000	-4773	0	0
1000	-4773	0	0
1000	-4773	0	0
1000	-4773	0	0
1000	-4773	0	0
1000	-4773	0	0
1000	-4773	0	0
1000	-4773	0	0
1000	-4773	0	0
1000	-4773	0	0
1000	-4773	0	0
1000	-4773	0	0
1000	-4773	0	0
1000	-4773	0	0
1000	-4773	0	0
