Pendolo inverso attivazione
(dt=10, OCR2A=156, Prescaler=1024)
PWM	mStep	mVel	mAcc
0	47081	39	-1
0	47122	41	2
0	47163	41	0
0	47204	41	0
0	47245	41	0
0	47285	40	-1
0	47326	41	1
0	47366	40	-1
0	47404	38	-2
0	47443	39	1
0	47482	39	0
0	47521	39	0
0	47560	39	0
0	47598	38	-1
0	47638	40	2
0	47677	39	-1
0	47716	39	0
0	47755	39	0
0	47792	37	-2
0	47830	38	1
0	47869	39	1
0	47907	38	-1
0	47946	39	1
0	47983	37	-2
0	48021	38	1
0	48060	39	1
0	48098	38	-1
0	48136	38	0
0	48174	38	0
0	48211	37	-1
0	48248	37	0
0	48285	37	0
0	48321	36	-1
0	48358	37	1
0	48394	36	-1
0	48432	38	2
0	48468	36	-2
0	48505	37	1
0	48542	37	0
0	48577	35	-2
0	48614	37	2
0	48650	36	-1
0	48686	36	0
0	48723	37	1
0	48757	34	-3
0	48793	36	2
0	48830	37	1
0	48865	35	-2
0	48901	36	1
0	48937	36	0
0	48973	36	0
0	49010	37	1
0	49046	36	-1
0	49081	35	-1
0	49116	35	0
0	49151	35	0
0	49186	35	0
0	49221	35	0
0	49256	35	0
0	49290	34	-1
0	49325	35	1
0	49359	34	-1
0	49394	35	1
0	49428	34	-1
0	49462	34	0
0	49496	34	0
0	49530	34	0
0	49564	34	0
0	49597	33	-1
0	49632	35	2
0	49665	33	-2
0	49698	33	0
0	49733	35	2
0	49766	33	-2
0	49800	34	1
0	49834	34	0
0	49867	33	-1
0	49899	32	-1
0	49933	34	2
0	49965	32	-2
0	49997	32	0
0	50029	32	0
0	50062	33	1
0	50094	32	-1
0	50126	32	0
0	50158	32	0
0	50190	32	0
0	50224	34	2
0	50255	31	-3
0	50287	32	1
0	50317	30	-2
0	50350	33	3
0	50382	32	-1
0	50414	32	0
0	50446	32	0
0	50477	31	-1
0	50507	30	-1
0	50539	32	2
0	50569	30	-2
0	50600	31	1
0	50631	31	0
0	50662	31	0
0	50692	30	-1
0	50723	31	1
0	50754	31	0
0	50786	32	1
0	50815	29	-3
0	50846	31	2
0	50875	29	-2
0	50907	32	3
0	50937	30	-2
0	50967	30	0
0	50996	29	-1
0	51027	31	2
0	51055	28	-3
0	51085	30	2
0	51115	30	0
0	51146	31	1
0	51174	28	-3
0	51205	31	3
0	51233	28	-3
0	51263	30	2
0	51291	28	-2
0	51319	28	0
0	51347	28	0
0	51374	27	-1
0	51403	29	2
0	51431	28	-1
0	51460	29	1
0	51488	28	-1
0	51516	28	0
0	51543	27	-1
0	51572	29	2
0	51599	27	-2
0	51626	27	0
0	51653	27	0
0	51681	28	1
0	51710	29	1
0	51738	28	-1
0	51767	29	1
0	51792	25	-4
0	51819	27	2
0	51844	25	-2
0	51871	27	2
0	51897	26	-1
0	51924	27	1
0	51951	27	0
0	51977	26	-1
0	52003	26	0
0	52028	25	-1
0	52056	28	3
0	52083	27	-1
0	52109	26	-1
0	52135	26	0
0	52161	26	0
0	52188	27	1
0	52213	25	-2
0	52239	26	1
0	52264	25	-1
0	52289	25	0
0	52314	25	0
0	52339	25	0
0	52364	25	0
0	52390	26	1
0	52413	23	-3
0	52438	25	2
0	52463	25	0
0	52488	25	0
0	52512	24	-1
0	52537	25	1
0	52563	26	1
0	52587	24	-2
0	52611	24	0
0	52635	24	0
0	52658	23	-1
0	52683	25	2
0	52707	24	-1
0	52732	25	1
0	52756	24	-1
0	52780	24	0
0	52805	25	1
0	52828	23	-2
0	52850	22	-1
0	52873	23	1
0	52896	23	0
0	52920	24	1
0	52943	23	-1
0	52965	22	-1
0	52988	23	1
0	53010	22	-1
0	53033	23	1
0	53056	23	0
0	53077	21	-2
0	53100	23	2
0	53123	23	0
0	53145	22	-1
0	53166	21	-1
0	53189	23	2
0	53211	22	-1
0	53234	23	1
0	53255	21	-2
0	53275	20	-1
0	53296	21	1
0	53318	22	1
0	53339	21	-1
0	53361	22	1
0	53382	21	-1
0	53403	21	0
0	53423	20	-1
0	53444	21	1
0	53463	19	-2
0	53483	20	1
0	53504	21	1
0	53524	20	-1
0	53543	19	-1
0	53562	19	0
0	53583	21	2
0	53604	21	0
0	53624	20	-1
0	53644	20	0
0	53665	21	1
0	53685	20	-1
0	53705	20	0
0	53725	20	0
0	53745	20	0
0	53764	19	-1
0	53784	20	1
0	53804	20	0
0	53823	19	-1
0	53843	20	1
0	53862	19	-1
0	53881	19	0
0	53900	19	0
0	53919	19	0
0	53938	19	0
0	53956	18	-1
0	53975	19	1
0	53994	19	0
0	54012	18	-1
0	54030	18	0
0	54049	19	1
0	54067	18	-1
0	54085	18	0
0	54103	18	0
0	54121	18	0
0	54139	18	0
0	54156	17	-1
0	54174	18	1
0	54192	18	0
0	54209	17	-1
0	54226	17	0
0	54244	18	1
0	54261	17	-1
0	54278	17	0
0	54295	17	0
0	54312	17	0
0	54329	17	0
0	54345	16	-1
0	54362	17	1
0	54379	17	0
0	54395	16	-1
0	54411	16	0
0	54428	17	1
0	54444	16	-1
0	54460	16	0
0	54475	15	-1
0	54491	16	1
0	54507	16	0
0	54523	16	0
0	54538	15	-1
0	54553	15	0
0	54569	16	1
0	54584	15	-1
0	54599	15	0
0	54614	15	0
0	54629	15	0
0	54643	14	-1
0	54658	15	1
0	54672	14	-1
0	54687	15	1
0	54702	15	0
0	54716	14	-1
0	54730	14	0
0	54744	14	0
0	54759	15	1
0	54773	14	-1
0	54786	13	-1
0	54800	14	1
0	54814	14	0
0	54828	14	0
0	54841	13	-1
0	54854	13	0
0	54868	14	1
0	54881	13	-1
0	54895	14	1
0	54908	13	-1
0	54920	12	-1
0	54933	13	1
0	54947	14	1
0	54959	12	-2
0	54972	13	1
0	54984	12	-1
0	54996	12	0
0	55009	13	1
0	55021	12	-1
0	55033	12	0
0	55045	12	0
0	55057	12	0
0	55069	12	0
0	55081	12	0
0	55092	11	-1
0	55104	12	1
0	55115	11	-1
0	55126	11	0
0	55137	11	0
0	55148	11	0
0	55159	11	0
0	55170	11	0
0	55180	10	-1
0	55191	11	1
0	55202	11	0
0	55213	11	0
0	55223	10	-1
0	55233	10	0
0	55243	10	0
0	55253	10	0
0	55264	11	1
0	55273	9	-2
0	55283	10	1
0	55293	10	0
0	55302	9	-1
0	55312	10	1
0	55321	9	-1
0	55331	10	1
0	55340	9	-1
0	55350	10	1
0	55359	9	-1
0	55368	9	0
0	55376	8	-1
0	55386	10	2
0	55395	9	-1
0	55403	8	-1
0	55412	9	1
0	55420	8	-1
0	55429	9	1
0	55437	8	-1
0	55445	8	0
0	55453	8	0
0	55462	9	1
0	55469	7	-2
0	55477	8	1
0	55485	8	0
0	55493	8	0
0	55500	7	-1
0	55508	8	1
